sid,Dpp_ivt_code,Name,Lat,Lon
nh01,37,Pangadair Khal 3V,24.44958688,90.99538436
nh02,38,Bera Khal 2V,24.46042166,91.00443244
nh03,39,Gokhra Khal Regulator,24.45429356,91.0201145
nh04,84,Markhali Khal Causeway,24.40543991,91.02719048
nh05,116,Box Drainge Out Let-1,24.41095687,91.03476331
nh06,117,Box Drainge Out Let-2,24.42870746,91.04938489
nh07,118,Box Drainge Out Let-3,24.43694565,91.06493424
nh08,119,Box Drainge Out Let-4,24.4552305,91.0758091
nh09,41,Bagdia Khal Regulator 1vent,24.4622249,91.07763564
nh10,120,Box Drainge Out Let-5,24.45892924,91.05905346
nh11,85,Neora Khal Causeway,24.43975192,91.022712
nh12,42,2-Vent Markhali Khal Regulator,24.42882363,90.98152338
nh13,83,Khayer Khal Causeway,24.40950887,90.99338883
nh14,82,Dheuha Khal Causeway,24.38001968,91.00245264
nh15,43,4-Vent Neora Khal Regulator,24.3800217,91.00212531
